Neo Reference ID,Absolute Magnitude,Est Dia in KM(max),Relative Velocity km per sec,Relative Velocity km per hr,Miss Dist.(kilometers),Orbit Uncertainity,Eccentricity,Orbital Period,Hazardous
3703080,21.6,0.284472297,6.115834389,22017.0038,62753692,5,0.425549083,609.5997864,TRUE
3723955,21.3,0.326617897,18.11398503,65210.34609,57298148,3,0.351674305,425.8692942,FALSE
2446862,20.3,0.517654482,7.590711162,27326.56018,7622911.5,0,0.348248262,643.5802281,TRUE
3092506,27.4,0.019680675,11.1738745,40225.94819,42683616,6,0.216578308,514.0821404,FALSE
3514799,21.6,0.284472297,9.840831054,35426.99179,61010824,1,0.210447943,495.5978209,TRUE
3671135,19.6,0.714562102,10.80884396,38911.83825,58759768,1,0.563441073,556.1605558,FALSE
2495323,19.6,0.714562102,10.80884159,38911.82972,58759532,1,0.56344111,556.1605445,FALSE
2153315,19.2,0.859092601,24.42188399,87918.78238,19324928,0,0.449762796,502.8087579,FALSE
2162463,17.8,1.636967205,17.37378384,62545.62181,53598364,0,0.23817901,447.8370128,FALSE
2306383,21.5,0.297879063,12.89960972,46438.595,22709816,0,0.551388807,299.5351607,TRUE
3444370,22.4,0.196806745,22.42136631,80716.91873,30075154,6,0.475819477,268.186165,FALSE
3448992,25.8,0.041118757,17.27461146,62188.60127,64479012,4,0.204840678,504.8303955,FALSE
3611400,25,0.059434687,12.11850995,43626.63583,53825524,6,0.326860712,327.7076361,FALSE
2162854,19.1,0.899580388,10.82992629,38987.73464,64425220,0,0.149357963,555.777122,FALSE
3446396,18.8,1.032856481,39.60532791,142579.1805,45023444,0,0.861093331,1019.756809,FALSE
3764806,25.2,0.054205079,25.21128858,90760.6389,74196656,6,0.441694355,279.9754763,FALSE
3314405,20,0.594346868,3.089003929,11120.41414,35727636,0,0.37754936,1000.849507,FALSE
3426410,21,0.375007522,20.01924193,72069.27097,71520800,1,0.452792293,315.9585012,FALSE
3666785,22.3,0.206081961,8.526320844,30694.75504,69003400,3,0.25973232,460.1894558,FALSE
3702321,22.7,0.171411509,7.919524045,28510.28656,16047525,4,0.151415852,319.0255592,FALSE
3719196,26.1,0.03581294,4.655478593,16759.72294,38220508,5,0.171432883,332.424644,FALSE
3447920,20.6,0.450858206,2.164372849,7791.742256,63257484,2,0.407470352,1016.466481,FALSE
3005973,21.7,0.271668934,28.41895426,102308.2353,7261686.5,1,0.868418907,315.3683408,TRUE
3660308,23.9,0.098637028,10.55151977,37985.47118,2952796.75,3,0.398820008,577.9754044,FALSE
3348144,23.9,0.098637028,17.56490765,63233.66755,64932800,1,0.397381006,333.0550193,FALSE
3646046,21.3,0.326617897,19.22316546,69203.39565,15266183,4,0.249424883,470.5679774,TRUE
3780693,26.989,0.02378154,7.16414806,25790.93301,31654442,7,0.317906126,384.2473032,FALSE
2162173,19.3,0.820427065,13.57630264,48874.68952,52470692,0,0.190284255,473.8907827,TRUE
3092312,22.6,0.179489885,11.47029804,41293.07296,7744736.5,0,0.428252611,501.2634018,FALSE
3273782,23.8,0.103285648,11.93064253,42950.31311,14592393,0,0.386458786,243.4240059,FALSE
3600106,28.6,0.011325046,9.874143162,35546.91538,21946004,6,0.229959584,465.9228969,FALSE
3684008,21.2,0.342010925,15.93870716,57379.34578,25865906,6,0.437398953,632.7522952,FALSE
3751815,22.8,0.163696721,11.74041348,42265.48854,49843512,6,0.51390657,294.028997,FALSE
2483656,23.8,0.103285648,11.93061192,42950.20292,14592338,0,0.386445067,243.4139883,FALSE
3182169,23.6,0.113250461,3.838016764,13816.86035,12937927,0,0.1755281,412.833952,FALSE
2267221,19.8,0.651688382,14.65060718,52742.18585,73819112,0,0.659670171,386.8704957,TRUE
2382875,21.7,0.271668934,7.514875357,27053.55128,74676320,0,0.180694935,540.5901588,FALSE
2396793,20.1,0.567596853,14.38282119,51778.15627,62975644,0,0.608529113,402.9863441,FALSE
2419472,19.9,0.622357573,16.53824927,59537.69736,55719572,0,0.200158668,495.2579003,TRUE
3647009,27.4,0.019680675,7.339140833,26420.907,10631156,7,0.221635471,450.2267561,FALSE
3713321,23.9,0.098637028,10.59959371,38158.53734,58869008,5,0.225484982,610.454233,FALSE
3747315,26.9,0.024776501,22.82462864,82168.66311,70754448,7,0.29973327,282.0210087,FALSE
3771614,21.424,0.30848921,20.37422233,73347.20038,33566916,6,0.147884621,501.8568085,FALSE
2312942,17.3,2.060819612,22.96034994,82657.25977,12975059,0,0.776643889,1243.602788,FALSE
3170221,26.5,0.029787906,7.516462188,27059.26388,35312740,1,0.013948498,359.0658068,FALSE
3601408,18.8,1.032856481,21.53473449,77525.04416,69933392,1,0.44459978,1233.214308,FALSE
3772759,28.15,0.013932851,13.59223294,48932.03858,48298924,4,0.145894028,383.6026381,FALSE
3409964,20.8,0.411187571,8.187885954,29476.38943,57238648,2,0.296206129,394.1587792,TRUE
3562320,25.6,0.045085821,14.09120316,50728.33138,40237380,7,0.198610407,292.9938206,FALSE
3747992,25.4,0.049435619,11.19950105,40318.2038,34836728,5,0.177454625,296.0603494,FALSE
3373683,19.4,0.783501764,9.304865523,33497.51588,5421688.5,1,0.12904386,399.2937582,TRUE
3719206,21,0.375007522,26.05388051,93793.96984,59935336,1,0.545844028,662.417145,FALSE
3394543,20.9,0.392681082,19.26861257,69367.00524,65708916,0,0.523263109,469.468682,TRUE
2489486,19.4,0.783501764,9.304865524,33497.51589,5421688.5,1,0.129015347,399.2903412,TRUE
2356991,18.9,0.986370281,14.34253068,51633.11046,33947260,0,0.532484748,1114.737577,TRUE
3648769,24,0.094197631,10.84353509,39036.72631,46063436,3,0.247374753,330.3444547,FALSE
3773650,21.494,0.298703271,15.67869704,56443.30934,29137866,5,0.383885058,298.4777408,FALSE
2088959,17.4,1.968067451,36.90278723,132850.034,46238112,0,0.563978044,826.5127687,FALSE
3277704,22.1,0.225964377,15.79708507,56869.50626,27445294,0,0.153836991,455.0492405,FALSE
3459306,21.6,0.284472297,20.28945338,73042.03216,30440984,0,0.476510033,512.5882833,FALSE
3562321,20.5,0.472106499,19.85485062,71477.46223,22393042,1,0.5265427,309.9608359,FALSE
3701883,21,0.375007522,24.71825521,88985.71876,51248596,2,0.53324626,776.7516458,TRUE
3728898,22.2,0.215794305,11.39660227,41027.76819,34981784,1,0.498869693,421.5812038,FALSE
3484042,20.6,0.450858206,15.45541989,55639.51161,16406984,7,0.490849799,782.3624023,FALSE
3330689,24.4,0.078350176,14.68517642,52866.63512,57902824,0,0.189682932,500.4540394,FALSE
3605319,18.8,1.032856481,19.53617081,70330.21491,51898464,2,0.591282536,1248.874609,FALSE
3694462,25.8,0.041118757,4.823898633,17366.03508,60106416,6,0.350066433,583.1012834,FALSE
3127399,24.3,0.082042707,11.50824853,41429.69471,3868730.5,7,0.202625296,512.7028131,FALSE
3397922,19.6,0.714562102,18.33273398,65997.84232,53124212,0,0.234803202,472.3955569,TRUE
3672731,26.2,0.034201093,7.92636157,28534.90165,24354582,6,0.119756633,436.7713817,FALSE
3463371,20.8,0.411187571,19.66727897,70802.20429,54831432,1,0.299153918,318.4950216,FALSE
2484402,19.6,0.714562102,18.33270757,65997.74724,53124064,0,0.234770561,472.406822,TRUE
3776112,20.616,0.447548369,17.48135593,62932.88134,48423144,5,0.405478939,400.0933971,FALSE
2154244,17.5,1.879489824,16.12549274,58051.77385,45024036,0,0.548401882,1279.647443,FALSE
3363380,22,0.23661375,13.47523501,48510.84603,9816599,7,0.309772347,450.5844479,FALSE
3673983,23,0.149293183,4.331719159,15594.18897,14103325,5,0.231820931,630.1041683,FALSE
3673919,21.5,0.297879063,16.93829897,60977.87629,46137780,4,0.526147419,1161.115304,FALSE
2308242,16.5,2.978790628,13.11454201,47212.35124,6895954,0,0.339979716,238.7538758,TRUE
2366746,20.2,0.542050786,11.0655789,39836.08405,73181936,0,0.461492035,414.0263439,TRUE
3545558,27.1,0.022596438,12.55217618,45187.83424,18219530,1,0.388447279,276.5583359,FALSE
3608823,27.2,0.021579431,12.52653474,45095.52508,55870700,7,0.360124157,327.4496188,FALSE
3775092,21.571,0.288296904,12.83532762,46207.17944,47410376,5,0.294842974,670.0460779,FALSE
2090416,18.7,1.081533507,24.36345562,87708.44023,67884888,0,0.492126625,806.0180024,TRUE
2216523,20.6,0.450858206,8.953169059,32231.40861,20690156,0,0.412094837,319.0893041,TRUE
2309728,18.1,1.425738833,15.59463771,56140.69577,57920168,0,0.392904405,962.0227782,FALSE
2458418,19.5,0.748238376,31.60773533,113787.8472,61771396,0,0.537495151,922.4128708,TRUE
3007951,18.7,1.081533507,32.18140575,115853.0607,35621844,0,0.79075696,401.1636849,FALSE
2495829,18.7,1.081533507,32.18140589,115853.0612,35621840,0,0.790756969,401.163685,FALSE
